"id_integrate2","site","depth","mass","water","c_content","measurement_id","eac1","eac2","eac3","eac4","eac5","eac6","eac7","eac8","edc1","edc2","edc3","edc4","edc5","edc6","edc7","edc8"
40,"Lutasa P frozen","15.0 ",0.079,30,"51.80 ",21,25.1001200455,25.6491966504,23.2993890133,22.6501398687,26.3755578703,25.1912909116,22.4103220654,31.4130783702,10.1820373934,11.9866734037,11.5048234033,11.1168360608,8.945169549,8.5780458212,8.3193705055,13.4189305885
41,"Lutasa P frozen","35.0 ",0.0762,30,"54.07 ",22,42.7056940294,47.3001113887,49.9035591954,45.2830918268,39.6051982522,44.5948019622,41.7416969659,46.4312860007,9.6547299516,11.1438196172,9.2579515196,7.3146738655,6.7049910363,8.5416675846,7.3128848816,7.6229929477
42,"Lutasa P frozen","65.0 ",0.0769,30,"53.93 ",23,32.5657303956,38.2341212416,37.1118472335,35.1924644988,41.7180310881,33.777595535,36.1379319919,32.5840895697,11.7111642837,14.5673174794,15.5216338771,14.8167935138,11.8006101006,11.0454139971,10.9469985843,15.848475695
43,"MK","15.0 ",0.0765,30,"52.67 ",9,32.6382964976,36.4447937669,29.6493839024,25.8645932034,32.8314915212,33.5509912705,34.0670612193,40.4973274579,10.8886889765,14.479330545,9.8704538932,12.4724861431,9.9712249344,10.2261249222,9.7732006671,8.9772425548
44,"MK","35.0 ",0.0736,30,"51.78 ",10,21.1296459689,18.748980666,25.2021641267,24.4118220604,21.0524791467,23.7336602123,22.6314336092,20.9962817526,8.863323836,8.5693563617,8.9031713768,7.5059181004,6.2759130325,10.3044449282,8.0056508424,7.0267619574
45,"MK","65.0 ",0.0783,30,"52.11 ",11,13.5455464136,13.6231067888,13.6449793435,19.711939032,14.8503275712,15.7079283385,16.1256842193,16.8140364951,17.5025771757,23.23611877,17.6878764726,19.7114481177,18.2315596216,19.4875780378,17.9992046609,16.7476178164
46,"MK","195.0 ",0.0788,30,"53.24 ",12,11.307049651,12.3034479442,11.2338984311,12.5483799847,14.7390299464,14.7230966672,14.9244641865,12.7665185562,18.4485007116,17.8585560598,16.7861033764,15.1675549173,15.1937797216,15.7151137581,16.5875892804,13.7989055519
47,"LT","15.0 ",0.0763,30,"51.45 ",13,24.2613577846,29.9897416975,28.1153868344,28.9134488182,25.1228679819,25.9269012577,26.8580484082,23.7481519737,8.0526616602,11.983376876,11.8265388648,9.5420274909,8.417607966,8.5732010619,5.989859338,8.1487342216
48,"LT","35.0 ",0.0717,30,"54.40 ",14,13.2179437361,13.0881026978,13.4837332421,9.2495659949,16.0301023606,14.7434638538,14.5466054037,20.9695214916,6.6158189122,6.6914590079,7.5564266359,4.1474875198,8.3483887842,6.3431398288,6.1164528336,5.7893054769
49,"LT","65.0 ",0.0731,30,"54.01 ",15,11.9235160987,13.4107124196,13.1927281839,12.5948318659,18.916175895,16.3871529654,16.6791733997,13.4220777993,12.7942207862,16.6726970876,16.7687474516,15.9223509233,14.7516818407,15.5045188677,15.3281739019,13.0041016473
50,"LT","195.0 ",0.0768,30,"56.10 ",16,17.2915164628,19.5792070458,21.9071239119,20.3945942267,21.6656866607,20.5990915104,22.3513753205,22.0062874915,17.2918824991,17.6803547637,16.9788916821,14.5871046536,17.506794353,17.7803333837,17.6966340045,17.2209173288
51,"T1","15.0 ",0.0757,30,"50.29 ",1,18.6597138629,14.4786019418,12.9413848941,15.5008853241,25.7322315705,18.3770496609,20.587477235,19.8972999346,4.998433028,"NA",3.354822256,4.2525882641,8.2354006873,7.4596969918,6.9787061176,6.1752580029
52,"T1","35.0 ",0.0788,30,"49.89 ",2,9.2449966475,8.594238624,7.0035112444,8.5970125653,12.1078912407,16.1992378906,8.5837536568,10.7959596679,2.3927054588,2.3496355614,2.2401210029,2.1702703637,"NA",3.4988366531,3.1893991105,2.2572959247
53,"T1","65.0 ",0.0797,30,"41.15 ",3,3.1030020416,4.0424546909,2.2494948728,3.8354419616,10.952376007,7.8456071093,7.6254991016,8.1440045372,1.8581371477,1.123904521,1.0902779911,1.5304373213,1.7378970505,1.5687514192,1.8695386334,1.2442143882
54,"T1","175.0 ",0.0739,30,"24.64 ",4,8.732800383,8.6620986237,5.6021630292,6.957995728,8.5626993568,11.8289607427,10.2442241351,9.8516163048,5.293956974,5.7654551593,5.763202631,5.8295331085,"NA",7.4197431966,4.5011770074,4.7322494084
55,"T6","15.0 ",0.0601,30,"43.66 ",13,9.6263391186,14.0151218084,13.0307573195,11.3908656258,15.3329078689,16.4423236083,15.110268598,15.7642105876,7.6886840325,9.0237088033,5.4837018934,8.824795587,10.2626267742,6.989564856,8.2046051192,8.5171891765
56,"T6","35.0 ",0.0744,30,"51.34 ",14,10.8537538983,8.4725764063,12.5664691366,12.8898216982,14.3046371178,13.9601390381,17.3228495192,13.489396384,8.3795563739,7.8822331718,8.2595561588,6.5587210892,8.1162443088,9.5455235671,7.0902086258,8.3284247862
57,"T6","65.0 ",0.0701,30,"47.71 ",15,12.4478774395,10.3163521707,10.0915915087,9.8851177254,11.6558211245,10.0917109782,13.060726241,11.6677231045,7.5374999102,7.0284550246,5.9354945391,6.3267406402,9.3625055151,8.4439061224,8.0618165086,8.7222102576
58,"T6","265.0 ",0.0709,30,"52.08 ",16,8.9878020288,7.7392194587,8.1348583263,7.8457733291,9.1363772012,9.796094875,8.2126111431,9.5334169635,5.6897510854,3.8231414224,4.9019234735,5.695725036,5.216645703,4.9869350028,4.5090801507,4.9303848956
60,"TX","14.5 ",0.0796,30,"34.28 ",25,14.0244458331,14.5754382331,14.2931879655,18.1149826919,25.2927145931,25.6048793936,30.4042231397,17.0833360618,5.84731959,5.2992961663,5.8635862244,6.3773970861,9.2873529047,5.6608538184,5.323572817,6.923009825
62,"TX","29.5 ",0.0732,30,"44.16 ",28,24.0338686311,31.9258313972,30.4294652165,38.0147417894,25.3222128873,26.4181394664,26.4023992886,24.2587002754,12.4210513113,11.9582328331,12.1567063865,12.4783631041,9.925824117,9.9414993853,11.9936816355,10.5016229753
63,"TX","34.5 ",0.078,30,"50.60 ",26,10.6193275854,11.6146107905,11.0125577384,9.5804228446,12.1504771894,15.3438756294,15.2603321909,14.0340888768,9.5590256682,7.109696312,6.9457652653,6.3125888299,5.8268458849,6.2314102282,5.4493203884,4.6854367267
64,"TX","39.5 ",0.0743,30,"49.43 ",29,23.8330716023,18.1021870912,18.4514869314,18.3479584203,20.3928616675,20.6293603767,17.4959145046,18.2900594585,27.8542029978,27.7491670807,28.4077460355,26.1031441243,26.3424725809,29.4214249579,26.5032971908,25.7218333549
65,"TX","62.5 ",0.0723,30,"45.63 ",30,14.7903642331,14.6550196957,14.8552932966,14.5668536297,16.2137407446,19.973025284,15.4110224842,15.0529202067,22.5308847473,24.2347179252,24.673478818,26.305855175,20.3884635334,23.0691828192,24.1075980207,21.6132773094
66,"TX","67.5 ",0.0784,30,"45.06 ",27,8.0331938109,10.7286056091,13.1289162363,10.6893856723,15.2231435838,15.7140428122,13.6461221595,11.5093390296,6.0401188784,6.1864326521,7.1202387032,6.5183548704,8.2562977664,7.8519897329,7.1110786735,7.2399778941
67,"TX","232.5 ",0.078,30,"40.61 ",31,17.9060877941,16.7112438692,16.3884916276,12.6094354822,17.1454014748,15.2930271201,15.9695479154,18.6602835092,23.7932253028,31.5952630502,26.2920019703,22.8420403235,26.019133751,27.8059862287,24.8142047822,28.0616212717
68,"TX","237.5 ",0.0801,30,"42.40 ",28,13.6719945557,15.7305397232,11.1001370291,10.0140842093,15.0561501814,16.8004436306,16.8213566279,15.0035424592,5.552492753,5.3655212673,5.9856142313,4.7919035551,8.2634010745,8.0715460858,8.2843161459,11.0178244648
69,"DT","22.5 ",0.0812,30,"45.53 ",29,7.4699433131,10.606142113,9.9988507885,8.7121992413,14.8412961928,14.9256788016,13.382956958,16.6291956418,5.9148466728,6.3430735492,6.7244112801,5.6689828433,7.1827932817,6.8545644455,6.1812057504,6.2956360305
70,"DT","42.5 ",0.0778,30,"50.82 ",30,12.0437533992,12.1901260207,12.7076998807,13.1412642024,12.6379237039,13.4861452778,12.1021274873,12.9788533916,6.1227639786,6.0180870751,6.3796873918,4.6203193557,6.2377692704,7.4752472018,7.2258509616,6.9421956249
72,"DT","67.5 ",0.0816,30,"38.09 ",31,8.8514936429,10.4635411304,11.6990047023,8.760296428,12.3751711159,12.6787128006,12.5604771375,14.5030636013,4.4369930251,5.0830106202,5.4584551911,4.9592619944,5.8293653327,5.4342686169,5.7859804381,6.5868690723
73,"DT","172.5 ",0.0784,30,"47.32 ",32,7.830576971,11.0917516916,7.4097037484,9.799554498,7.9159218759,8.9019774789,10.1213464244,9.1591118829,6.0450613612,7.4784824306,6.7097185827,4.1276912401,7.1371214657,6.3367351358,6.8155075321,6.8807267352
75,"T1-1","15.0 ",0.0791,30,"51.69 ",17,20.7322307215,16.2733780074,20.6609652742,20.3165069666,19.4653189338,24.3989451262,22.4505999514,14.7286587277,7.0471930536,6.3649557623,10.3971060612,9.3337935967,9.4861750529,9.8950371612,8.938170332,10.670636273
76,"T1-1","35.0 ",0.0791,30,"49.88 ",18,21.3185054614,20.1375160491,23.9217457079,24.8278760479,26.1185005186,23.855458672,25.4955240328,32.7617285437,15.1492343086,15.7560983053,15.3188594167,10.9404794132,13.7337099145,13.5275477425,14.9520661559,16.4346207334
77,"T1-1","65.0 ",0.0804,30,"49.88 ",19,12.9279014385,16.4126559562,13.8282483637,13.0961673986,23.5827989992,22.1978404967,21.8470733939,18.3294684623,7.6438816468,7.0658245383,8.8467804344,8.9555979712,10.7726477242,10.0100989062,9.3914695115,5.9684341353
78,"T1-1","205.0 ",0.0789,30,"43.64 ",20,32.8098862712,28.7895399562,28.199471501,27.6205018466,35.3748064745,39.8294778444,36.2571641588,35.7870833431,10.3959271817,8.8916403942,8.7287579785,6.0702752394,9.8386978155,7.9120439605,9.1451087338,10.3126845822
81,"Larin","15.0 ",0.0796,30,"46.15 ",21,25.7163824479,24.6145538074,28.8111572017,32.4369261155,35.5732091733,36.9523058605,35.4633545818,46.8910448399,20.2691549399,20.2062800059,19.3859002351,20.3862706805,21.1867729654,21.1511328051,20.5475543714,18.0751103784
83,"Larin","35.0 ",0.0781,30,"48.21 ",22,20.2573798509,23.2770615194,19.1100093802,20.4908251094,26.6316070679,31.7985465222,24.8820823412,24.9730572809,13.578258143,14.3067826719,13.0495823972,8.8706068199,10.6786180286,12.0205521492,12.9088401389,13.1566849993
86,"Larin","65.0 ",0.08,30,"46.97 ",23,14.4250687033,18.9151624918,14.2946981341,15.0970136542,23.5510344269,25.4379532951,18.5639901943,15.3889241688,9.943226616,8.4440103466,9.164818788,11.3433056422,13.9827881495,13.4429378396,12.7032178501,12.5538734086
90,"Larin","315.0 ",0.0816,30,"50.41 ",24,23.1884793159,22.5013240113,23.510604919,23.8440330085,34.8031317808,42.6454781335,44.9219994675,38.6096651622,24.5587528655,24.2365821515,19.9623187792,16.0335285702,21.9512511706,24.8376166165,25.0137469565,26.3050204014
